,Data,User,Pesan,Saham,Jam,Tanggal
240,241,Yu. Ni,"Membalas : Jadi harusnya bbkp ini susah naik. Karena dia mesti buangin barang terus.
Ini saham paling bikin gregetan selama saya masuk di bursa...berbulan2 sgitu2 saja   si bsowa pun jualanya sdikit2 banget...",BBKP,9:12:24 AM,Monday April 26 2021
241,242,Harry Wijaya,Raja bsk rups,RAJA,9:10:32 AM,Monday April 26 2021
242,243,wahyudi aja,Cent di guyur pas opening,CENT,9:02:32 AM,Monday April 26 2021
243,244,Muhammad Kurniawan,"Membalas : lppf arb kah
arb pak",LPPF,9:02:28 AM,Monday April 26 2021
244,245,Agus Poetradi,lppf arb kah,LPPF,9:01:30 AM,Monday April 26 2021
245,246,Robin Karenza,Jadi harusnya bbkp ini susah naik. Karena dia mesti buangin barang terus.,BBKP,8:41:27 AM,Monday April 26 2021
246,247,Benhan,"Membalas : Bbkp dari brapa waktu lalu sudah jualan terus bosowa cuma barNgnya nda abis2
11%, ya banyak... kalau mau cepat jual ke Kook Min di pasar nego tapi pasti maunya beli murah.
Itulah sebabnya harga BBKP ga akan dinaikin. Kecuali Bosowa jadi anak baik dan nurut",BBKP,8:38:40 AM,Monday April 26 2021
247,248,Mr Cho,"ANALISA #LPPF
#CONSUMER

LPPF pada perdagangan terakhir sempat naik tinggi namu turun drastis pada saat penutupan market. Tercatat naik sebesar +2.08% di harga 1965. Hari itu Jumat (23/04) asing melakukan net sell -12.69 B pada pasar reguler.

Secara teknikalnya LPPF akan kecenderungan turun. Candle terlihat tertekan oleh tekanan demand.    

Support : 1845, 1785 
Resistance : 2040, 2050

#Teknikal
#UntukRefrensi
#BukanAjakanBeli

Disclaimer ON
Ini adalah foto",LPPF,8:37:43 AM,Monday April 26 2021
248,249,Erich,"Membalas : Wah terbang ini BBKP, beban beratnya mau dibuang hehe
    
",BBKP,8:36:31 AM,Monday April 26 2021
249,250,Robin Karenza,Bbkp dari brapa waktu lalu sudah jualan terus bosowa cuma barNgnya nda abis2,BBKP,8:36:22 AM,Monday April 26 2021
250,251,Bang Zalie,"FREN sebelumnya break dari support 87-88
Ini adalah foto",FREN,8:33:00 AM,Monday April 26 2021
251,252,Benhan,"Membalas : Didepak dari Bank Bukopin, Bosowa Harus Lepas Saham BBKP Paling Lama Agustus 2021 Oleh: Anggar Septiadi    Titis Nurdiana KON
Wah terbang ini BBKP, beban beratnya mau dibuang hehe","BANK,BBKP",8:31:50 AM,Monday April 26 2021
252,253,Robin Karenza,"Ada yg pegang ABBA? Hari ini abba buka
",ABBA,8:29:54 AM,Monday April 26 2021
253,254,Mr Cho,"COMMODITIES UPDATE 26/04/2021

GAIN : Nickel, Tin, Oil
LOSS : CPO, Coal, Gold
Ini adalah foto",GOLD,8:28:40 AM,Monday April 26 2021
254,255,Bang Zalie,"CENT closing tepat pada area support yg sebelumnya menjadi resisten
Ini adalah foto",CENT,8:28:35 AM,Monday April 26 2021
255,256,D.Lestari,"Ini adalah foto
Ini adalah foto
Ini adalah foto
Didepak dari Bank Bukopin, Bosowa Harus Lepas Saham BBKP Paling Lama Agustus 2021

Oleh: Anggar Septiadi    Titis Nurdiana


KONTAN.CO.ID - JAKARTA. Kiprah PT Bosowa Corporindo di PT Bank Bukopin Tbk (BBKP) bisa menjadi tinggal kenangan. Bosowa wajib mengalihkan seluruh kepemilikan saham di Bukopin paling lambat satu tahun sejak ditetapkan tidak lulus oleh Otoritas Jasa Keuangan (OJK) terhadap hasil penilaian kembali selaku pemegang saham pengendali Bukopin.

Berdasarkan hasil penilaian yang ditetapkan OJK 24 Agustus 2020, Bosowa harus melepas seluruh saham Bukopin setahun setelah hasil penetapan itu keluar. Ini artinya batas waktu Bosowa untuk melepas saham di BBKP hanya sampai Agustus 2021.

OJK menilai Bosowa telah melakukan pelanggaran sehingga tak bisa menjadi pemegang saham pengendali. Sanksi ini sesuai Peraturan OJK No. 34/POJK.03/2018 tentang penilaian kembali bagi pihak utama lembaga jasa keuangan (LJK),

Dengan keputusan tersebut, OJK juga menjatuhkan beberapa larangan kepada Bosowa, di antaranya menjadi pihak utama pengendali atau memiliki saham pada lembaga jasa keuangan (LJK) dan/atau menjadi pihak utama pengurus dan/atau pihak utama pejabat pada LJK dengan jangka waktu tiga tahun.","BANK,BBKP,SATU",8:25:04 AM,Monday April 26 2021
256,257,Bang Zalie,"ANTM sebelumnya gagal break resisten
Ini adalah foto",ANTM,8:19:58 AM,Monday April 26 2021
257,258,Bang Zalie,"BBKP apakah akan mantul dari support trendlinenya?
Ini adalah foto",BBKP,7:56:16 AM,Monday April 26 2021
258,259,hery,"Membalas : Five Things You Need to Know to Start Your Day [""https://www.bloomberg.com/news/newsletters/2021-04-25/five-things-you-need-to-
mari ke zug   ",MARI,6:47:10 AM,Monday April 26 2021
259,260,Rays_Man,"Membalas : Sudah normal baru bu.. btw kakak ipar saya kerja di anak usaha KRAS, dibilang orderan baja sudah melebihi sebelum covid, sampai
Harga baja juga terbang sejak akhir tahun.. 
total kenaikan sdh diatas 30% 
bengkel2 sdh mulai pusing karena sebagian sdh deal projects sebelum harga naik..  ","BAJA,DEAL,KRAS",6:08:44 AM,Monday April 26 2021
260,261,rigeladitya,"Membalas : Dmna2 ud mulai rame.. weekend gini mall2 en resto2 ud rame sprti sblm covid.. mungkin ud byk yg thr-an yaa
Sudah normal baru bu.. btw kakak ipar saya kerja di anak usaha KRAS, dibilang orderan baja sudah melebihi sebelum covid, sampai ga punya stok, produk jadi langsung kirim.","BAJA,KRAS",5:00:33 AM,Monday April 26 2021
261,262,Chan,"Membalas : Saya tradingnya lose rata2 dan saya beli di pucuk baru beli lgsg turun apa yang harus saya pelajari?
Jgn trding dlu control dl sikologi ny bljr analisa trknikal cri best entri sham ny buat plan masuk dan exit ny 
minimalkan kerugian anda.. bljr ny dmna byk kok di yutub mau dri yutub pak hendro the trader jg ad dan ko my jg ad prsiapkan snjata mu saat mau perang jgn perang tdk mmbwa apa"" moga brmnfaat ","BEST,PLAN",12:35:11 AM,Monday April 26 2021
