,Data,User,Pesan,Saham,Jam,Tanggal
159,160,Aho Lie,"Membalas : Harga tebus murah supaya ada investor baru tertarik masuk. EMTK senang2 aja karena right issue kedua ini tujuannya pindahin bisn
Bkl mirip ama cent strateginya kyknya pak ben ","CENT,EMTK",1:15:32 PM,Tuesday April 13 2021
160,161,Benhan,"Membalas : Benar kak, dan di keterangan RInya selain akuisisi EMC mereka juga mau menambah modal, jadi ya saya perkirakan harga tebusnya 30
Harga tebus murah supaya ada investor baru tertarik masuk.
EMTK senang2 aja karena right issue kedua ini tujuannya pindahin bisnis rumah sakit mereka EMC ke bawah SAME","EMTK,SAME",1:09:52 PM,Tuesday April 13 2021
161,162,Rui :rocket: :speedboat::dancer: ,"Membalas : 227 klo di bagi gitu. Asumsi nya di atas itu 227, 300 sd 400 ya?
Benar kak, dan di keterangan RInya selain akuisisi EMC mereka juga mau menambah modal, jadi ya saya perkirakan harga tebusnya 300-400, apalagi harganya masi ditarik naik sekarang
Kalau ratio 2:1 dan harga induk 600an waktu cum date dan harga tebus 300an, harga teoritisnya bakalan 500an
Silakan simpulkan sendiri artinya apa, kunci gembok SAME saya sdh buang d palung marina    ",SAME,1:07:38 PM,Tuesday April 13 2021
162,163,krm nugraha,"Membalas : Sangkut gede itu kan pasti karena ga mau cutloss... Good luck deh di Crypto kalau alirannya masih anti cutloss
d saham sring nyangkut mau pindah k crypto   ","GOOD,LUCK",12:59:55 PM,Tuesday April 13 2021
163,164,muriz,"Membalas : SAME kl turun itu so far masi gali lubang buat bikin pondasi kak, amin2 bisa bikin tangga terus kedepannya, perlahan namun pasti
Patut d perhatikan nih",SAME,12:41:06 PM,Tuesday April 13 2021
164,165,Robin Karenza,"Membalas : soalnya SAME ini bandel sama IHSG kak, IHSG kemanapun SAME tetap nyantai nanjak Saya malah panik kalau SAME nanjaknya ga nya
Karena same bukan penggerak ihsg. N dia buat base di 500 tanda mau nanjak. Sama kaya dmmx.","DMMX,SAME",12:35:50 PM,Tuesday April 13 2021
165,166,Rui :rocket: :speedboat::dancer: ,"Membalas : *Toss.. Dah biarin aja bandel asal ga terjerumus ke lembah kejahatan..   
SAME kl turun itu so far masi gali lubang buat bikin pondasi kak, amin2 bisa bikin tangga terus kedepannya, perlahan namun pasti kaya SCMA dulu  

Nana my pleasureeee, berbagi cuan itu yang paling menyenangkan

Akankah SAME membuat base lagi nanti di area 600? Kalau SAME butuh 1.3T buat akuisisi EMC, dengan mencetak 5.7milliar saham baru, kemungkinan nanti harga tebus di kisaran 300-400 rupiah, jadi kalau harganya k 600 atau lebih dulu, akan jadi lebi menarik    ","SAME,SCMA",12:30:10 PM,Tuesday April 13 2021
166,167,Arie May,"Membalas : Sangkut gede itu kan pasti karena ga mau cutloss... Good luck deh di Crypto kalau alirannya masih anti cutloss
klo crypto sama ama forex, mati sudah klo ga pake cutloss wkwkw","GOOD,LUCK",12:28:15 PM,Tuesday April 13 2021
167,168,Benhan,"Membalas : Klo gini caranya lama kelamaan retail pada pindah ke crypto semua. Semakin pedih di saham, sangkutnya udah gak kehitung korbanny
Sangkut gede itu kan pasti karena ga mau cutloss... Good luck deh di Crypto kalau alirannya masih anti cutloss  ","GOOD,LUCK",12:27:09 PM,Tuesday April 13 2021
168,169,Bu Nana,"Membalas : Setelah SAME dan TBIG Ada 1 lagi yg mau jalan nih?
Smgr? Wskt?","SAME,SMGR,TBIG,WSKT",12:20:49 PM,Tuesday April 13 2021
169,170,Mbah Bedjo,"SSMS nasibmu kini, perusahaan untung gk menjamin sahamnya naik",SSMS,12:18:40 PM,Tuesday April 13 2021
170,171,Frendi cari-ara,"Membalas : Essa?
Yg masih tenang2 aja di pinggiran. Belum bergerak banyak tp dikumpulin terus.",ESSA,12:09:18 PM,Tuesday April 13 2021
171,172,Bu Nana,"Membalas : Setelah SAME dan TBIG Ada 1 lagi yg mau jalan nih?
Essa?","ESSA,SAME,TBIG",12:05:13 PM,Tuesday April 13 2021
172,173,Frendi cari-ara,"Setelah SAME dan TBIG
Ada 1 lagi yg mau jalan nih?","SAME,TBIG",12:03:50 PM,Tuesday April 13 2021
173,174,sugi,Pgas bisa rebound ga yah hu?,PGAS,12:00:56 PM,Tuesday April 13 2021
174,175,Kevin SP,"Membalas : Terbukti sales same yg satu ini waktu itu ternyata bukan nyales tapi panggilan merdu utk cuan bareng
Hahahah.    ","SAME,SATU",11:55:09 AM,Tuesday April 13 2021
175,176,Isal,"Membalas : Terbukti sales same yg satu ini waktu itu ternyata bukan nyales tapi panggilan merdu utk cuan bareng
dapet penghargaan apa ya kira2 namanya pak  ","SAME,SATU",11:54:48 AM,Tuesday April 13 2021
176,177,Nana Paramita,"Membalas : Terbukti sales same yg satu ini waktu itu ternyata bukan nyales tapi panggilan merdu utk cuan bareng
Setuju Pak!!   Thanks @RuiAuxilia","SAME,SATU",11:54:15 AM,Tuesday April 13 2021
