,Data,User,Pesan,Saham,Jam,Tanggal
19,20,Benhan,"Soal FREN, Sinarmas lewat anak perusahaannya DSSA nukar OWK (obligasi wajib konversi) jadi saham, kepemilikan DSSA naik jadi 20%. 
Selain itu Sinarmas juga punya saham FREN lewat tiga perusahaan yg akuisisi Mobile-8 waktu itu lewat konsorsium Smart Telecom.
Dg utang tukar saham ini, otomatis kepemilikan publik makin terdelusi karena saham yg beredar makin banyak.
Sisi baiknya: utang berubah jadi equity","DSSA,FREN",11:17:44 PM,Saturday April 17 2021
20,21,Tomatto Tomatto,"Membalas : Harga turun, volume naik: lanjut bearish trend. BBTN
Siap
",BBTN,10:50:07 PM,Saturday April 17 2021
21,22,Benhan,"Harga turun, volume naik: lanjut bearish trend. BBTN",BBTN,10:47:15 PM,Saturday April 17 2021
22,23,Tomatto Tomatto,Trim hu,TRIM,10:46:39 PM,Saturday April 17 2021
23,24,Rays_Man,"Membalas : Bentar lagi buka The Traders Forex. Biar dipandu Hu @edsuwu
    
full time trader beneran deh   
bbtn tunggu aja selesai koreksi.. sudah dalem banget ya  ",BBTN,10:41:21 PM,Saturday April 17 2021
24,25,Tomatto Tomatto,"Hu bbtn gimana nasibnya
",BBTN,10:20:57 PM,Saturday April 17 2021
25,26,Rizky,"Membalas : tiap jam tiap mnit lhat hp trus tar d sangka slingkuh ma istri padahal liat chart...    
Saya sudah mengalami pak . Padahal lagi cek IPOT  ",TRUS,9:01:46 PM,Saturday April 17 2021
26,27,Hendro Masori,"Membalas : tiap jam tiap mnit lhat hp trus tar d sangka slingkuh ma istri padahal liat chart...    
Malah rugi Pak. Mending sekalian. 
      ",TRUS,8:58:27 PM,Saturday April 17 2021
27,28,krm nugraha,tiap jam tiap mnit lhat hp trus tar d sangka slingkuh ma istri padahal liat chart...    ,TRUS,8:57:43 PM,Saturday April 17 2021
28,29,Kaanz',"Membalas : soft copy dmn nya ya bro?
Cek bio telegram, ada share berbagai link dan media",LINK,8:19:23 PM,Saturday April 17 2021
29,30,rigeladitya,Rame banget bahas FREN,FREN,8:13:52 PM,Saturday April 17 2021
30,31,RBTAN59,sy sdh gatel pengen + muatan di mppa ,MPPA,7:14:08 PM,Saturday April 17 2021
31,32,RBTAN59,"@pak Pohai... Bpk kan sdh analisa MPPA sejak awal ada nya crossing usd 300jt. dan nyata effect skrg sudah sentuh di 705. sy koq melihat nya skrg MPPA malah  menjadi andalan nya utk meningkatkan aset lipo group dibandingkan dgn aset lain nya + skrg di suport ada nya kepentingan anderson /temasek. menurut Bpk bagaimana apkh akan terus uptrend dibarangi dgn ke real nya ada sentimen positive dibidang nya sehubungan dgn idulfitri. mohon update Pak analisa nya .  
malah sdh ada watiga dj dlm Mppa ","MPPA,REAL",7:08:35 PM,Saturday April 17 2021
32,33,Ady Tirta,"Membalas : Pantengin terus, kayak mau deketin cewe. Tapi bukan arti sebenarnya ya, kayak liat fundamental, teknikal gitu aja
Secara TA saya tarik bisa sampai 130, dan saya masuk di 88.

Kemudian saya dengar percakapan Master @michaelyeoh91 di sebuah podcast. Katanya volume itu penting.

Mulai cari di YouTube cara mengunakan indikator volume, disana di bahas tentang anomali. Karena saya lihat Fren menunjukan gejala seperti itu sekarang saya jadi kepikiran senin akan seperti apa ","ARTI,FREN",6:36:16 PM,Saturday April 17 2021
33,34,Afies Abdyan,"Membalas : Cara tahu karakter saham gimana ya pak?
Pantengin terus, kayak mau deketin cewe. Tapi bukan arti sebenarnya ya, kayak liat fundamental, teknikal gitu aja",ARTI,6:22:18 PM,Saturday April 17 2021
34,35,Ady Tirta,"Maaf saya masih pemula, berarti volume itu gak boleh di lihat satu hari ya?
Membalas : Ngak, karena saham beredar besar
Konsep anomali volume itu gimana sih pak? Saya jadi gak paham",SATU,6:12:50 PM,Saturday April 17 2021
35,36,Afies Abdyan,Hari jumat aja sudah naek 5% fren,FREN,6:12:37 PM,Saturday April 17 2021
36,37,RBTAN59,"Membalas : Kalo di lihat dari Volume FREN itu seharusnya kan sebuah Anomali. Volumenya naik tapi harganya gak kemana""
lah kan dr 79 ke 95 apa namanya Pak 
senin mgkn sdh diatas 100 ",FREN,6:11:05 PM,Saturday April 17 2021
37,38,Poniman,"Membalas : Kalo di lihat dari Volume FREN itu seharusnya kan sebuah Anomali. Volumenya naik tapi harganya gak kemana""
Ngak, karena saham beredar besar",FREN,6:10:55 PM,Saturday April 17 2021
38,39,Ady Tirta,"Kalo di lihat dari Volume FREN itu seharusnya kan sebuah Anomali. Volumenya naik tapi harganya gak kemana""",FREN,6:09:41 PM,Saturday April 17 2021
39,40,RBTAN59,"Membalas : Kalau ditetapkan trus dibatalin lagi, kira2 siapa yg untung ??
pinter bingits sih pak Pohai.. bpk sekolah ekonomi yah sampe kelas brp Pak    ",TRUS,6:09:41 PM,Saturday April 17 2021
40,41,Poniman,"Membalas : Photo
Kalau ditetapkan trus dibatalin lagi, kira2 siapa yg untung ??",TRUS,5:59:03 PM,Saturday April 17 2021
41,42,Poniman,"Membalas : Kemungkinan dibawa kesana plh gak mungkin 140 jadi r 10 atau gimn
Logika wajar induk > 120, semakin besar semakin menarik agar retail ikut tebus R dan warrant",AGAR,5:52:16 PM,Saturday April 17 2021
